name,n_sample,Z_noise,W_noise,n_epochs,batch_size,log_metrics,learning_rate,l2_penalty,network_depth,network_width,max_avg_val_MSE
naive_neural_net_AWZY,5000,1,1,3000,1000,True,3e-05,3e-05,2,40,112.57466683999998
naive_neural_net_AWZY,5000,1,1,3000,1000,True,3e-05,3e-05,2,80,26.84390018000001
naive_neural_net_AWZY,5000,1,1,3000,1000,True,3e-05,3e-05,3,10,2085.527300000001
naive_neural_net_AWZY,5000,1,1,3000,1000,True,3e-05,3e-05,3,40,126.85840562000001
naive_neural_net_AWZY,5000,1,1,3000,1000,True,3e-05,3e-05,3,80,10.900199899999997
naive_neural_net_AWZY,5000,1,1,3000,1000,True,3e-05,3e-05,4,10,2088.619600000001
naive_neural_net_AWZY,5000,1,1,3000,1000,True,3e-05,3e-05,4,40,112.62874718000006
naive_neural_net_AWZY,5000,1,1,3000,1000,True,3e-05,3e-05,4,80,15.093461769999994
naive_neural_net_AWZY,5000,1,1,3000,1000,True,3e-05,3e-05,5,10,2077.770799999999
naive_neural_net_AWZY,5000,1,1,3000,1000,True,3e-05,3e-05,5,40,121.07183182
naive_neural_net_AWZY,5000,1,1,3000,1000,True,3e-05,3e-05,5,80,13.472247929999996
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-07,2,10,18.682279900000005
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-07,2,40,14.134147689999999
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-07,2,80,13.327304099999997
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-07,3,10,20.582786419999998
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-07,3,40,15.703229010000005
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-07,3,80,13.980633369999996
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-07,4,10,23.44628008000001
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-07,4,40,15.613777820000003
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-07,4,80,14.327046790000002
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-07,5,10,19.432542119999997
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-07,5,40,14.45700644
