name,n_sample,n_epochs,batch_size,log_metrics,learning_rate,l2_penalty,loss_name,network_depth,network_width,max_avg_causal_loss_val
nmmr,5000,3000,1000,True,3e-05,3e-06,V_statistic,5,10,57.82153999999995
nmmr,5000,3000,1000,True,3e-05,3e-06,V_statistic,5,40,57.79629000000006
nmmr,5000,3000,1000,True,3e-05,3e-06,V_statistic,5,80,57.82153999999995
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,2,10,57.42247799999996
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,2,40,2.1521178939999994
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,2,80,0.27190762240000005
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,3,10,57.42247799999996
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,3,40,0.27401366860000004
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,3,80,58.33898
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,4,10,58.33898
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,4,40,58.33898
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,4,80,1.9206341980000006
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,5,10,57.42247799999996
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,5,40,57.40115699999994
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,5,80,57.42247799999996
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,2,10,57.82153999999995
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,2,40,2.187058058
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,2,80,0.24230527680000005
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,3,10,57.82153999999995
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,3,40,0.2368557796
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,3,80,1.168430796
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,4,10,58.742214
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,4,40,2.181592664
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,4,80,0.1862158024
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,5,10,57.82153999999995
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,5,40,2.3349360740000007
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,5,80,0.195823601
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,2,10,57.42247799999996
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,2,40,2.242403804
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,2,80,0.23795471980000005
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,3,10,57.42247799999996
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,3,40,0.23136337900000004
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,3,80,1.1624063000000004
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,4,10,58.33898
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,4,40,2.170781666
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,4,80,0.1800626136
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,5,10,57.42247799999996
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,5,40,2.3891194020000004
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,5,80,0.18762246979999997
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,2,10,2.0332767900000004
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,2,40,0.058002297500000015
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,2,80,0.062131139180000024
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,3,10,1.786287586
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,3,40,0.06231390648000001
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,3,80,0.06358686574
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,4,10,1.706691994
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,4,40,0.0634253306
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,4,80,0.06508664458
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,5,10,0.6379420435999998
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,5,40,0.06235730538000001
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,5,80,0.06341009
nmmr,5000,3000,1000,True,0.0003,3e-07,U_statistic,2,10,2.0178646679999996
nmmr,5000,3000,1000,True,0.0003,3e-07,U_statistic,2,40,0.05919580589999999
nmmr,5000,3000,1000,True,0.0003,3e-07,U_statistic,2,80,0.03848440831999999
nmmr,5000,3000,1000,True,0.0003,3e-07,U_statistic,3,10,1.7814552780000001
nmmr,5000,3000,1000,True,0.0003,3e-07,U_statistic,3,40,0.05878623101999999
nmmr,5000,3000,1000,True,0.0003,3e-07,U_statistic,3,80,0.06029546176000001
nmmr,5000,3000,1000,True,0.0003,3e-07,U_statistic,4,10,1.7537010339999994
nmmr,5000,3000,1000,True,0.0003,3e-07,U_statistic,4,40,0.060132629320000006
nmmr,5000,3000,1000,True,0.0003,3e-07,U_statistic,4,80,0.06166493459999999
nmmr,5000,3000,1000,True,0.0003,3e-07,U_statistic,5,10,0.6961062753999998
nmmr,5000,3000,1000,True,0.0003,3e-07,U_statistic,5,40,0.05946781112000002
nmmr,5000,3000,1000,True,0.0003,3e-07,U_statistic,5,80,0.05985159451999999
nmmr,5000,3000,1000,True,0.0003,3e-06,V_statistic,2,10,0.06719432580000001
nmmr,5000,3000,1000,True,0.0003,3e-06,V_statistic,2,40,0.02833557756
nmmr,5000,3000,1000,True,0.0003,3e-06,V_statistic,2,80,0.011799719479999997
nmmr,5000,3000,1000,True,0.0003,3e-06,V_statistic,3,10,0.06294239256000002
nmmr,5000,3000,1000,True,0.0003,3e-06,V_statistic,3,40,0.06226475137999999
nmmr,5000,3000,1000,True,0.0003,3e-06,V_statistic,3,80,0.06374309688000002
nmmr,5000,3000,1000,True,0.0003,3e-06,V_statistic,4,10,0.06308909348
nmmr,5000,3000,1000,True,0.0003,3e-06,V_statistic,4,40,0.06878581040000001
