name,n_sample,n_epochs,batch_size,log_metrics,learning_rate,l2_penalty,loss_name,network_depth,network_width,causal_loss_val
nmmr,5000,3000,1000,True,3e-05,3e-07,V_statistic,2,10,12.671574213999998
nmmr,5000,3000,1000,True,3e-05,3e-07,V_statistic,2,40,0.44089234799999993
nmmr,5000,3000,1000,True,3e-05,3e-07,V_statistic,2,80,5.992497862
nmmr,5000,3000,1000,True,3e-05,3e-07,V_statistic,3,10,12.619435635
nmmr,5000,3000,1000,True,3e-05,3e-07,V_statistic,3,40,0.518033024
nmmr,5000,3000,1000,True,3e-05,3e-07,V_statistic,3,80,11.7290018594
nmmr,5000,3000,1000,True,3e-05,3e-07,V_statistic,4,10,29.242468743
nmmr,5000,3000,1000,True,3e-05,3e-07,V_statistic,4,40,11.7580824715
nmmr,5000,3000,1000,True,3e-05,3e-07,V_statistic,4,80,11.63794465517
nmmr,5000,3000,1000,True,3e-05,3e-07,V_statistic,5,10,11.952372718000001
nmmr,5000,3000,1000,True,3e-05,3e-07,V_statistic,5,40,17.3291774114
nmmr,5000,3000,1000,True,3e-05,3e-07,V_statistic,5,80,11.40698296939
nmmr,5000,3000,1000,True,3e-05,3e-07,U_statistic,2,10,12.60581006
nmmr,5000,3000,1000,True,3e-05,3e-07,U_statistic,2,40,0.438133283
nmmr,5000,3000,1000,True,3e-05,3e-07,U_statistic,2,80,5.940094207
nmmr,5000,3000,1000,True,3e-05,3e-07,U_statistic,3,10,12.535212634
nmmr,5000,3000,1000,True,3e-05,3e-07,U_statistic,3,40,0.511920471
nmmr,5000,3000,1000,True,3e-05,3e-07,U_statistic,3,80,11.6557943683
nmmr,5000,3000,1000,True,3e-05,3e-07,U_statistic,4,10,29.059689005000003
nmmr,5000,3000,1000,True,3e-05,3e-07,U_statistic,4,40,11.681879015399998
nmmr,5000,3000,1000,True,3e-05,3e-07,U_statistic,4,80,11.5591717595
nmmr,5000,3000,1000,True,3e-05,3e-07,U_statistic,5,10,11.879126609
nmmr,5000,3000,1000,True,3e-05,3e-07,U_statistic,5,40,17.213489935
nmmr,5000,3000,1000,True,3e-05,3e-07,U_statistic,5,80,11.32972079705
nmmr,5000,3000,1000,True,3e-05,3e-06,V_statistic,2,10,12.50207181
nmmr,5000,3000,1000,True,3e-05,3e-06,V_statistic,2,40,0.40490340499999994
nmmr,5000,3000,1000,True,3e-05,3e-06,V_statistic,2,80,0.143719367
nmmr,5000,3000,1000,True,3e-05,3e-06,V_statistic,3,10,7.1627740509999995
nmmr,5000,3000,1000,True,3e-05,3e-06,V_statistic,3,40,0.165328532
nmmr,5000,3000,1000,True,3e-05,3e-06,V_statistic,3,80,6.1385254508
nmmr,5000,3000,1000,True,3e-05,3e-06,V_statistic,4,10,29.295085403999998
nmmr,5000,3000,1000,True,3e-05,3e-06,V_statistic,4,40,11.595202552999998
nmmr,5000,3000,1000,True,3e-05,3e-06,V_statistic,4,80,0.21457380456
nmmr,5000,3000,1000,True,3e-05,3e-06,V_statistic,5,10,11.937250355
nmmr,5000,3000,1000,True,3e-05,3e-06,V_statistic,5,40,11.543886225300001
nmmr,5000,3000,1000,True,3e-05,3e-06,V_statistic,5,80,11.40464887964
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,2,10,12.429020119
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,2,40,0.4049043090000001
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,2,80,0.1385708756
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,3,10,7.1149651029999985
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,3,40,0.169604029
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,3,80,6.0959799031
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,4,10,29.104158223000002
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,4,40,11.5153686115
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,4,80,0.21484745902000002
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,5,10,11.863989376000001
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,5,40,11.4694439557
nmmr,5000,3000,1000,True,3e-05,3e-06,U_statistic,5,80,11.326912813899998
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,2,10,12.496849118
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,2,40,0.4077590890000001
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,2,80,0.13501607399999999
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,3,10,7.132624653000001
