epoch_num,causal_loss_train,causal_loss_val,rep_ID
0,0.017565172,0.17771983,0
1,0.017561644,0.18096213,0
2,0.017554859,0.18025576,0
3,0.017547593,0.17615888,0
4,0.017575491,0.18329245,0
5,0.017533053,0.18137565,0
6,0.017526975,0.17653726,0
7,0.017504992,0.17802352,0
8,0.017529003,0.17910598,0
9,0.017501283,0.17316803,0
10,0.017494455,0.17573877,0
11,0.01747858,0.17402984,0
12,0.017470572,0.1756824,0
13,0.017485186,0.17869002,0
14,0.017458014,0.1773156,0
15,0.017451972,0.1774817,0
16,0.017453324,0.18027881,0
17,0.017447283,0.17980956,0
18,0.017435968,0.1766807,0
19,0.017447453,0.17861602,0
20,0.017423734,0.17645755,0
21,0.017411597,0.17403132,0
22,0.017430479,0.17718741,0
23,0.017411858,0.17201209,0
24,0.017415466,0.17569806,0
25,0.017400993,0.17458858,0
26,0.017387766,0.17466614,0
27,0.017382301,0.17583437,0
28,0.0173707,0.17587931,0
29,0.017368635,0.17715597,0
30,0.017361704,0.17675859,0
31,0.01738397,0.1713834,0
32,0.017383942,0.17676455,0
33,0.017369444,0.1760584,0
34,0.0173675,0.17033343,0
35,0.017343093,0.175013,0
36,0.017328758,0.17239338,0
37,0.017326022,0.17091303,0
38,0.01732723,0.17391597,0
39,0.017311562,0.17224258,0
40,0.017306134,0.17299294,0
41,0.017317653,0.17526834,0
42,0.017295389,0.17300184,0
43,0.017291186,0.17279093,0
44,0.017308284,0.1765144,0
45,0.017280636,0.17489478,0
46,0.01727777,0.17619623,0
47,0.017286025,0.17746095,0
48,0.017275527,0.17175019,0
49,0.017264897,0.17256175,0
0,0.017602628,0.18514118,1
1,0.017610298,0.1869334,1
2,0.017589254,0.1844879,1
3,0.017588958,0.18291393,1
4,0.01758068,0.18488342,1
5,0.017583393,0.18560924,1
6,0.017564667,0.1838166,1
7,0.017558064,0.18389647,1
8,0.017563801,0.18633981,1
9,0.017546967,0.18448262,1
10,0.017541122,0.1829749,1
11,0.017546065,0.18525992,1
12,0.017540216,0.18526816,1
13,0.017526977,0.18290716,1
14,0.017523888,0.18341316,1
15,0.017522266,0.1843864,1
16,0.017521862,0.18480775,1
17,0.01752092,0.18423772,1
18,0.01750478,0.18231697,1
19,0.017505007,0.17859769,1
20,0.017514374,0.18270922,1
21,0.01749496,0.18218553,1
22,0.017489221,0.18058264,1
23,0.017486027,0.18495181,1
24,0.017492095,0.18594183,1
25,0.017466582,0.1820308,1
26,0.017457029,0.18311277,1
27,0.017491119,0.18762727,1
28,0.017442983,0.18489888,1
29,0.017446695,0.18265623,1
30,0.017442321,0.18695726,1
31,0.017427092,0.18586265,1
32,0.017427763,0.18113364,1
33,0.017416028,0.18269293,1
34,0.017415868,0.18142086,1
35,0.01739315,0.17994867,1
36,0.017379396,0.18155964,1
37,0.017370973,0.18353242,1
38,0.017355904,0.18252118,1
39,0.017343983,0.1835014,1
40,0.017328156,0.182974,1
41,0.017312557,0.18404289,1
42,0.01729499,0.18312131,1
43,0.017276365,0.18504494,1
44,0.01728397,0.18767719,1
45,0.017251495,0.18108979,1
46,0.017230084,0.18062834,1
47,0.01722744,0.18066566,1
48,0.017199697,0.1788075,1
49,0.01719946,0.18193579,1
0,0.017484833,0.1801326,2
1,0.0174697,0.17741306,2
2,0.017478608,0.17887129,2
3,0.017469876,0.17798151,2
4,0.017453903,0.17639498,2
5,0.017459085,0.17951074,2
6,0.017442252,0.17798401,2
7,0.017439056,0.1789941,2
8,0.01746185,0.1813117,2
9,0.017442456,0.17548515,2
10,0.017459223,0.18148975,2
11,0.017453164,0.18088083,2
12,0.017472085,0.17206207,2
13,0.01744772,0.1791424,2
14,0.017396806,0.17497317,2
15,0.01741566,0.17187928,2
16,0.017461708,0.17857605,2
17,0.017396318,0.17043799,2
18,0.017375903,0.17453983,2
19,0.017429026,0.17911291,2
20,0.017367879,0.17305613,2
21,0.017355213,0.17575456,2
22,0.01741306,0.18134294,2
23,0.017365968,0.17311192,2
24,0.01733769,0.17532288,2
25,0.017377121,0.17932987,2
26,0.017328385,0.17580262,2
27,0.017326139,0.17446987,2
28,0.017324388,0.17693038,2
29,0.017313989,0.17417829,2
30,0.017327387,0.17650764,2
31,0.0173163,0.17581207,2
32,0.017299958,0.17276014,2
33,0.017333407,0.17799109,2
34,0.017295748,0.17392035,2
35,0.017281221,0.17632562,2
36,0.017329803,0.1801289,2
37,0.017287811,0.172248,2
38,0.017265482,0.17579724,2
39,0.017285597,0.17815809,2
40,0.017251788,0.17514162,2
41,0.01724498,0.17633846,2
42,0.017244875,0.17777403,2
43,0.01723005,0.17659718,2
44,0.017232819,0.17914203,2
45,0.017217275,0.1767106,2
46,0.017216254,0.17847577,2
47,0.017218627,0.17937641,2
48,0.01719678,0.1747882,2
49,0.017188706,0.17584871,2
0,0.017459454,0.17572042,3
