sample_size,method,oos_mse
1000,naivenet_ay,77.91352273339746
1000,naivenet_ay,66.5969304412032
1000,naivenet_ay,69.79980627460681
1000,naivenet_ay,64.0823294200688
1000,naivenet_ay,66.33099956934073
1000,naivenet_ay,70.97162575627112
1000,naivenet_ay,76.02988955022614
1000,naivenet_ay,76.30520160799618
1000,naivenet_ay,69.00588801885081
1000,naivenet_ay,65.41846651757783
1000,naivenet_ay,74.35538163762494
1000,naivenet_ay,60.19446455258935
1000,naivenet_ay,69.0431325811296
1000,naivenet_ay,73.08969062400496
1000,naivenet_ay,71.0778498263172
1000,naivenet_ay,70.54739821310811
1000,naivenet_ay,73.66914511737728
1000,naivenet_ay,71.2626611838394
1000,naivenet_ay,86.4277055638076
1000,naivenet_ay,57.467031223930526
5000,naivenet_ay,64.16660838846485
5000,naivenet_ay,66.80120473436385
5000,naivenet_ay,63.979053666463145
5000,naivenet_ay,68.12322421271419
5000,naivenet_ay,67.72827439759473
5000,naivenet_ay,63.16907645083069
5000,naivenet_ay,66.00759528315272
5000,naivenet_ay,58.403240960562506
5000,naivenet_ay,64.96677850184759
5000,naivenet_ay,67.11686437792343
5000,naivenet_ay,64.13646528438274
5000,naivenet_ay,65.02900987201204
5000,naivenet_ay,70.66894713841943
5000,naivenet_ay,64.05334094718916
5000,naivenet_ay,63.805403777505795
5000,naivenet_ay,68.11188157674066
5000,naivenet_ay,65.33894919256413
5000,naivenet_ay,67.34546614290737
5000,naivenet_ay,68.03805139634176
5000,naivenet_ay,67.15623442705429
7500,naivenet_ay,64.45390684652529
7500,naivenet_ay,69.00833502621076
7500,naivenet_ay,61.02134726566894
7500,naivenet_ay,76.06891715434209
7500,naivenet_ay,64.86805571746159
7500,naivenet_ay,62.877797690129604
7500,naivenet_ay,68.41338195177522
7500,naivenet_ay,63.91233952664202
7500,naivenet_ay,68.10062777981089
7500,naivenet_ay,64.66376956136936
7500,naivenet_ay,65.08633011978458
7500,naivenet_ay,68.71172186102916
7500,naivenet_ay,72.61591050389193
7500,naivenet_ay,63.25332849062657
7500,naivenet_ay,61.71876700153058
7500,naivenet_ay,72.49879681106131
7500,naivenet_ay,71.91827847155024
7500,naivenet_ay,69.23928235303194
7500,naivenet_ay,65.13580396808628
7500,naivenet_ay,66.28559312403627
1000,nmmr_u,4.822002719254532
1000,nmmr_u,4.274792887756342
1000,nmmr_u,7.9254979772668595
1000,nmmr_u,4.636736753995739
1000,nmmr_u,4.6802896071042825
1000,nmmr_u,5.032422244936977
1000,nmmr_u,4.764303602188262
1000,nmmr_u,5.05680419328611
1000,nmmr_u,4.25289039031168
1000,nmmr_u,6.622210443203607
1000,nmmr_u,4.350409451916697
1000,nmmr_u,4.459353084019918
1000,nmmr_u,4.344444107973881
1000,nmmr_u,7.064811794817989
1000,nmmr_u,4.652856873933957
1000,nmmr_u,4.811845635306685
1000,nmmr_u,2.9638637613028287
1000,nmmr_u,6.897404159758714
1000,nmmr_u,8.29148480877591
1000,nmmr_u,4.077965768067503
5000,nmmr_u,4.152996730817946
5000,nmmr_u,6.466764875403969
5000,nmmr_u,7.061692987591329
5000,nmmr_u,3.7503548902833463
5000,nmmr_u,7.469431775834833
5000,nmmr_u,10.59863724270222
5000,nmmr_u,5.020024956359533
5000,nmmr_u,9.332485134004678
5000,nmmr_u,9.004883521025423
5000,nmmr_u,7.533698180521127
5000,nmmr_u,7.972011881687269
5000,nmmr_u,7.147437465995531
5000,nmmr_u,8.535016588602481
5000,nmmr_u,6.163250798194832
5000,nmmr_u,4.95508494877697
5000,nmmr_u,7.67136146444503
5000,nmmr_u,4.4258128929364915
5000,nmmr_u,6.8141877993827284
5000,nmmr_u,7.5030456920238535
5000,nmmr_u,4.14783751729685
7500,nmmr_u,5.597905063575227
7500,nmmr_u,7.4092920136947376
7500,nmmr_u,6.495461869351627
7500,nmmr_u,3.764586904152684
7500,nmmr_u,7.128263798319584
7500,nmmr_u,11.831412333922264
7500,nmmr_u,7.850368655380016
7500,nmmr_u,12.43478024246202
7500,nmmr_u,5.963128438306965
7500,nmmr_u,11.713630104584572
7500,nmmr_u,6.611152959590612
7500,nmmr_u,7.861253693428096
7500,nmmr_u,9.035804009696047
7500,nmmr_u,6.7950293331907625
7500,nmmr_u,8.34390238939457
7500,nmmr_u,6.287789685841657
7500,nmmr_u,6.371147393009994
7500,nmmr_u,7.621791700650879
7500,nmmr_u,9.47810730770933
7500,nmmr_u,7.773223827383446
1000,pmmr,17.40223923302874
1000,pmmr,18.990935208939945
1000,pmmr,18.03219650864978
1000,pmmr,17.02055830856021
1000,pmmr,18.346877687262655
1000,pmmr,18.217618033609718
1000,pmmr,16.4711865355286
1000,pmmr,17.633255259631998
1000,pmmr,17.49892051679231
1000,pmmr,17.92701992012866
1000,pmmr,17.76849379087105
1000,pmmr,16.736324344640302
1000,pmmr,18.521165122294345
1000,pmmr,17.78882638897871
1000,pmmr,18.31307651466622
1000,pmmr,16.637224514948826
1000,pmmr,16.87756218165629
1000,pmmr,17.385345276430765
1000,pmmr,17.78718886032821
1000,pmmr,17.393168337658594
5000,pmmr,17.78024274055124
5000,pmmr,17.83484122501168
5000,pmmr,17.67959668320581
5000,pmmr,17.86933881914072
5000,pmmr,18.083897081739348
5000,pmmr,17.807732182930174
5000,pmmr,18.37254071749926
5000,pmmr,17.59717616471494
5000,pmmr,17.700758862592526
5000,pmmr,17.139181634971465
5000,pmmr,17.5100476754506
5000,pmmr,16.86523547219891
5000,pmmr,18.325199116271154
5000,pmmr,17.91624383310221
5000,pmmr,16.769159923939526
5000,pmmr,17.051929030857956
5000,pmmr,17.135455096255978
5000,pmmr,17.94302301110535
5000,pmmr,17.331281809288807
5000,pmmr,18.046804080260248
7500,pmmr,16.302619602988745
7500,pmmr,15.990684259291411
7500,pmmr,15.917872526384395
7500,pmmr,16.052138943466844
7500,pmmr,15.849188030807676
7500,pmmr,16.365517254160135
7500,pmmr,16.125675176397746
7500,pmmr,16.606654951118475
7500,pmmr,15.721835579616032
7500,pmmr,16.841003000637233
7500,pmmr,16.29507867515128
7500,pmmr,15.914163067319931
7500,pmmr,16.736587182852407
7500,pmmr,16.487096661020985
7500,pmmr,15.93572403222202
7500,pmmr,16.566438758349406
7500,pmmr,15.67131436641912
7500,pmmr,15.672304637925759
7500,pmmr,16.280661565042475
7500,pmmr,16.29410642338087
1000,kpv,21.966705322265625
1000,kpv,23.517688751220703
1000,kpv,24.128536224365234
1000,kpv,23.673233032226562
1000,kpv,22.429176330566406
1000,kpv,23.13572120666504
1000,kpv,23.194835662841797
1000,kpv,22.098346710205078
1000,kpv,23.524147033691406
1000,kpv,24.32969093322754
1000,kpv,22.894542694091797
1000,kpv,23.515010833740234
1000,kpv,25.806583404541016
1000,kpv,23.719709396362305
1000,kpv,23.718250274658203
1000,kpv,23.275842666625977
1000,kpv,22.07517433166504
1000,kpv,24.978322982788086
1000,kpv,21.957624435424805
1000,kpv,21.34013557434082
5000,kpv,16.575166702270508
5000,kpv,16.383676528930664
5000,kpv,16.71548080444336
5000,kpv,17.367027282714844
5000,kpv,17.154926300048828
5000,kpv,15.906682968139648
5000,kpv,18.086761474609375
5000,kpv,17.035503387451172
5000,kpv,16.106958389282227
5000,kpv,16.12289047241211
5000,kpv,16.385507583618164
5000,kpv,15.938835144042969
5000,kpv,16.35778045654297
5000,kpv,17.815690994262695
5000,kpv,16.134990692138672
5000,kpv,16.575971603393555
5000,kpv,16.608333587646484
5000,kpv,17.439332962036133
5000,kpv,15.57103443145752
5000,kpv,16.96234703063965
7500,kpv,15.72736644744873
7500,kpv,15.003541946411133
