sample_size,method,oos_mse
1000,naivenet_ay,198.30576830572502
1000,naivenet_ay,198.83318993792622
1000,naivenet_ay,186.0429218771277
1000,naivenet_ay,198.81036928715915
1000,naivenet_ay,187.34708884556179
1000,naivenet_ay,188.52052219259033
1000,naivenet_ay,205.98084319203065
1000,naivenet_ay,167.13336337014752
1000,naivenet_ay,186.3542972269284
1000,naivenet_ay,181.07769977145827
1000,naivenet_ay,262.8537861316796
1000,naivenet_ay,227.87318793098163
1000,naivenet_ay,187.83433521025927
1000,naivenet_ay,212.97046777860177
1000,naivenet_ay,190.67719506163368
1000,naivenet_ay,169.15282191310743
1000,naivenet_ay,193.14154203691874
1000,naivenet_ay,199.19896991337188
1000,naivenet_ay,203.736132229227
1000,naivenet_ay,169.68129942682626
5000,naivenet_ay,160.44749904588159
5000,naivenet_ay,185.16205277091453
5000,naivenet_ay,178.38331492857924
5000,naivenet_ay,222.01023407268946
5000,naivenet_ay,200.27591262636955
5000,naivenet_ay,173.8020105139137
5000,naivenet_ay,186.71403045045025
5000,naivenet_ay,179.39353204674975
5000,naivenet_ay,149.08305090780956
5000,naivenet_ay,219.9705987138885
5000,naivenet_ay,193.45452154686612
5000,naivenet_ay,166.7733749059613
5000,naivenet_ay,185.27262630000328
5000,naivenet_ay,154.22967370540775
5000,naivenet_ay,209.00427479189867
5000,naivenet_ay,173.82924710742427
5000,naivenet_ay,150.83417055820684
5000,naivenet_ay,187.36580283554989
5000,naivenet_ay,202.6611917049765
5000,naivenet_ay,178.72143824527538
10000,naivenet_ay,209.9499864685496
10000,naivenet_ay,159.29243725336468
10000,naivenet_ay,181.38406757142383
10000,naivenet_ay,206.4654952956424
10000,naivenet_ay,179.45516873141668
10000,naivenet_ay,201.0128696694607
10000,naivenet_ay,196.01699836867533
10000,naivenet_ay,215.6918209052732
10000,naivenet_ay,200.498962211789
10000,naivenet_ay,188.2841215465916
10000,naivenet_ay,202.71700114937937
10000,naivenet_ay,212.5695537491173
10000,naivenet_ay,191.4343107108389
10000,naivenet_ay,181.99094696742023
10000,naivenet_ay,182.45915037666674
10000,naivenet_ay,201.4077056598703
10000,naivenet_ay,164.75914722941033
10000,naivenet_ay,207.62140578624675
10000,naivenet_ay,169.77928634362937
10000,naivenet_ay,189.51014879369194
50000,naivenet_ay,184.90272962478178
50000,naivenet_ay,178.03874290820013
50000,naivenet_ay,189.2439521372528
50000,naivenet_ay,174.89676604931356
50000,naivenet_ay,185.13366711503554
50000,naivenet_ay,177.45750948890557
50000,naivenet_ay,171.46086868517975
50000,naivenet_ay,184.08144286306776
50000,naivenet_ay,183.75781800318592
50000,naivenet_ay,192.76589840102864
50000,naivenet_ay,187.65724676202356
50000,naivenet_ay,197.31895191629243
50000,naivenet_ay,188.8740502724383
50000,naivenet_ay,190.34961943977044
50000,naivenet_ay,177.17174927528131
50000,naivenet_ay,179.91478392127556
