sample_size,rep,method,pred_EY_doA,true_EY_doA,A
1000,15,naivenet_ay,53.76847457885742,56.43016424526046,10.0
1000,15,naivenet_ay,49.23981857299805,61.291422491326394,12.222222222222221
1000,15,naivenet_ay,47.65135192871094,63.486919054889654,14.444444444444445
1000,15,naivenet_ay,45.692039489746094,63.62483325683143,16.666666666666668
1000,15,naivenet_ay,43.98305892944336,62.250025394496284,18.88888888888889
1000,15,naivenet_ay,43.48628616333008,59.64845707535128,21.11111111111111
1000,15,naivenet_ay,43.554073333740234,55.93867710872394,23.333333333333336
1000,15,naivenet_ay,43.621856689453125,51.68362193329824,25.555555555555557
1000,15,naivenet_ay,43.689640045166016,47.204057013718554,27.77777777777778
1000,15,naivenet_ay,43.75738525390625,42.66584069740169,30.0
1000,14,naivenet_ay,49.930381774902344,56.43016424526046,10.0
1000,14,naivenet_ay,49.288841247558594,61.291422491326394,12.222222222222221
1000,14,naivenet_ay,47.6136589050293,63.486919054889654,14.444444444444445
1000,14,naivenet_ay,45.18449401855469,63.62483325683143,16.666666666666668
1000,14,naivenet_ay,43.293819427490234,62.250025394496284,18.88888888888889
1000,14,naivenet_ay,42.794002532958984,59.64845707535128,21.11111111111111
1000,14,naivenet_ay,42.61819839477539,55.93867710872394,23.333333333333336
1000,14,naivenet_ay,42.486576080322266,51.68362193329824,25.555555555555557
1000,14,naivenet_ay,42.3549690246582,47.204057013718554,27.77777777777778
1000,14,naivenet_ay,42.19794464111328,42.66584069740169,30.0
1000,7,naivenet_ay,50.82807159423828,56.43016424526046,10.0
1000,7,naivenet_ay,50.4038200378418,61.291422491326394,12.222222222222221
1000,7,naivenet_ay,47.64707946777344,63.486919054889654,14.444444444444445
1000,7,naivenet_ay,45.83027267456055,63.62483325683143,16.666666666666668
1000,7,naivenet_ay,44.49388885498047,62.250025394496284,18.88888888888889
1000,7,naivenet_ay,44.23339080810547,59.64845707535128,21.11111111111111
1000,7,naivenet_ay,43.98387145996094,55.93867710872394,23.333333333333336
1000,7,naivenet_ay,43.734344482421875,51.68362193329824,25.555555555555557
1000,7,naivenet_ay,43.484832763671875,47.204057013718554,27.77777777777778
1000,7,naivenet_ay,43.23532485961914,42.66584069740169,30.0
1000,6,naivenet_ay,45.92221450805664,56.43016424526046,10.0
1000,6,naivenet_ay,45.46588897705078,61.291422491326394,12.222222222222221
1000,6,naivenet_ay,45.00957107543945,63.486919054889654,14.444444444444445
1000,6,naivenet_ay,44.5533447265625,63.62483325683143,16.666666666666668
1000,6,naivenet_ay,44.09712600708008,62.250025394496284,18.88888888888889
1000,6,naivenet_ay,43.64090347290039,59.64845707535128,21.11111111111111
1000,6,naivenet_ay,43.184688568115234,55.93867710872394,23.333333333333336
1000,6,naivenet_ay,42.72847366333008,51.68362193329824,25.555555555555557
1000,6,naivenet_ay,42.27225112915039,47.204057013718554,27.77777777777778
1000,6,naivenet_ay,41.8160285949707,42.66584069740169,30.0
1000,12,naivenet_ay,47.096675872802734,56.43016424526046,10.0
1000,12,naivenet_ay,46.3447380065918,61.291422491326394,12.222222222222221
1000,12,naivenet_ay,45.59279251098633,63.486919054889654,14.444444444444445
1000,12,naivenet_ay,44.84084701538086,63.62483325683143,16.666666666666668
1000,12,naivenet_ay,44.08891296386719,62.250025394496284,18.88888888888889
1000,12,naivenet_ay,43.63485336303711,59.64845707535128,21.11111111111111
1000,12,naivenet_ay,43.62738800048828,55.93867710872394,23.333333333333336
1000,12,naivenet_ay,43.61992645263672,51.68362193329824,25.555555555555557
1000,12,naivenet_ay,43.61246109008789,47.204057013718554,27.77777777777778
1000,12,naivenet_ay,43.6049919128418,42.66584069740169,30.0
1000,13,naivenet_ay,44.3512077331543,56.43016424526046,10.0
1000,13,naivenet_ay,46.48834991455078,61.291422491326394,12.222222222222221
1000,13,naivenet_ay,45.90916061401367,63.486919054889654,14.444444444444445
1000,13,naivenet_ay,44.173439025878906,63.62483325683143,16.666666666666668
1000,13,naivenet_ay,42.437713623046875,62.250025394496284,18.88888888888889
1000,13,naivenet_ay,41.250518798828125,59.64845707535128,21.11111111111111
1000,13,naivenet_ay,42.062904357910156,55.93867710872394,23.333333333333336
1000,13,naivenet_ay,42.87529754638672,51.68362193329824,25.555555555555557
1000,13,naivenet_ay,43.68769073486328,47.204057013718554,27.77777777777778
1000,13,naivenet_ay,42.99402618408203,42.66584069740169,30.0
1000,18,naivenet_ay,50.83180236816406,56.43016424526046,10.0
1000,18,naivenet_ay,48.05337142944336,61.291422491326394,12.222222222222221
1000,18,naivenet_ay,46.304866790771484,63.486919054889654,14.444444444444445
1000,18,naivenet_ay,44.55636215209961,63.62483325683143,16.666666666666668
1000,18,naivenet_ay,42.80785369873047,62.250025394496284,18.88888888888889
1000,18,naivenet_ay,41.059356689453125,59.64845707535128,21.11111111111111
1000,18,naivenet_ay,41.35913848876953,55.93867710872394,23.333333333333336
1000,18,naivenet_ay,42.87751388549805,51.68362193329824,25.555555555555557
1000,18,naivenet_ay,42.71916961669922,47.204057013718554,27.77777777777778
1000,18,naivenet_ay,42.048622131347656,42.66584069740169,30.0
1000,19,naivenet_ay,48.05654525756836,56.43016424526046,10.0
1000,19,naivenet_ay,47.53255844116211,61.291422491326394,12.222222222222221
1000,19,naivenet_ay,47.00857162475586,63.486919054889654,14.444444444444445
1000,19,naivenet_ay,45.987606048583984,63.62483325683143,16.666666666666668
1000,19,naivenet_ay,44.25381088256836,62.250025394496284,18.88888888888889
1000,19,naivenet_ay,43.62958526611328,59.64845707535128,21.11111111111111
1000,19,naivenet_ay,43.944557189941406,55.93867710872394,23.333333333333336
1000,19,naivenet_ay,44.29672622680664,51.68362193329824,25.555555555555557
1000,19,naivenet_ay,44.64889907836914,47.204057013718554,27.77777777777778
1000,19,naivenet_ay,45.001068115234375,42.66584069740169,30.0
1000,0,naivenet_ay,49.47938537597656,56.43016424526046,10.0
1000,0,naivenet_ay,48.37614440917969,61.291422491326394,12.222222222222221
1000,0,naivenet_ay,47.170074462890625,63.486919054889654,14.444444444444445
1000,0,naivenet_ay,45.08591842651367,63.62483325683143,16.666666666666668
1000,0,naivenet_ay,43.24839401245117,62.250025394496284,18.88888888888889
1000,0,naivenet_ay,42.04252243041992,59.64845707535128,21.11111111111111
1000,0,naivenet_ay,41.57288360595703,55.93867710872394,23.333333333333336
1000,0,naivenet_ay,41.997554779052734,51.68362193329824,25.555555555555557
1000,0,naivenet_ay,42.42222213745117,47.204057013718554,27.77777777777778
1000,0,naivenet_ay,42.84689712524414,42.66584069740169,30.0
1000,1,naivenet_ay,51.18913269042969,56.43016424526046,10.0
1000,1,naivenet_ay,49.34189987182617,61.291422491326394,12.222222222222221
1000,1,naivenet_ay,46.670833587646484,63.486919054889654,14.444444444444445
1000,1,naivenet_ay,43.67594528198242,63.62483325683143,16.666666666666668
1000,1,naivenet_ay,42.23820114135742,62.250025394496284,18.88888888888889
