method,oos_mse,Z_noise,W_noise
nmmr_u,32.795893646987516,0.0,0.0
nmmr_u,79.39908509178356,0.0,0.0
nmmr_u,117.53093037616937,0.0,0.0
nmmr_u,48.49429211326166,0.0,0.0
nmmr_u,41.114179317717834,0.0,0.0
nmmr_u,33.367563483227975,0.0,0.0
nmmr_u,184.00339804109245,0.0,0.0
nmmr_u,49.7240229151676,0.0,0.0
nmmr_u,130.30167952760502,0.0,0.0
nmmr_u,55.10593003654801,0.0,0.0
nmmr_u,48.848075544595574,0.0,0.0
nmmr_u,30.027762733644277,0.0,0.0
nmmr_u,24.052358332694883,0.0,0.0
nmmr_u,82.12889639531465,0.0,0.0
nmmr_u,41.38165123071907,0.0,0.0
nmmr_u,71.49657932572909,0.0,0.0
nmmr_u,26.529897023052694,0.0,0.0
nmmr_u,33.85418022345243,0.0,0.0
nmmr_u,57.1654586847895,0.0,0.0
nmmr_u,26.239667069166067,0.0,0.0
nmmr_u,44.542591952869266,0.0,0.01
nmmr_u,78.31249406682167,0.0,0.01
nmmr_u,115.37213155573355,0.0,0.01
nmmr_u,49.37231261206723,0.0,0.01
nmmr_u,41.28400445772955,0.0,0.01
nmmr_u,33.59939397911542,0.0,0.01
nmmr_u,183.97855352342884,0.0,0.01
nmmr_u,47.03874746292691,0.0,0.01
nmmr_u,130.18441405495543,0.0,0.01
nmmr_u,56.44058465816264,0.0,0.01
nmmr_u,49.60830621929355,0.0,0.01
nmmr_u,30.28852103859294,0.0,0.01
nmmr_u,24.168909897614572,0.0,0.01
nmmr_u,86.04632875562973,0.0,0.01
nmmr_u,41.39969376802113,0.0,0.01
nmmr_u,63.07024964052033,0.0,0.01
nmmr_u,24.92307261844828,0.0,0.01
nmmr_u,36.126893289744935,0.0,0.01
nmmr_u,56.01166608877618,0.0,0.01
nmmr_u,27.241069420605918,0.0,0.01
nmmr_u,44.67250361846287,0.0,0.1
nmmr_u,89.91782546213496,0.0,0.1
nmmr_u,122.7636612087459,0.0,0.1
nmmr_u,48.52035087145978,0.0,0.1
nmmr_u,41.38058951375109,0.0,0.1
nmmr_u,37.28476029598461,0.0,0.1
nmmr_u,176.02611912049252,0.0,0.1
nmmr_u,49.96802224662112,0.0,0.1
nmmr_u,103.0998107937994,0.0,0.1
nmmr_u,52.854492833075334,0.0,0.1
nmmr_u,50.222617959372386,0.0,0.1
nmmr_u,31.075042453820394,0.0,0.1
nmmr_u,25.207438940144556,0.0,0.1
nmmr_u,81.1858289794484,0.0,0.1
nmmr_u,40.49215408680206,0.0,0.1
nmmr_u,67.14503455226328,0.0,0.1
nmmr_u,23.027699169006816,0.0,0.1
nmmr_u,33.72981620343937,0.0,0.1
nmmr_u,62.754482731497646,0.0,0.1
nmmr_u,65.64300796391692,0.0,0.1
nmmr_u,55.229271489635565,0.0,0.5
nmmr_u,42.09322276956239,0.0,0.5
nmmr_u,122.13937909254636,0.0,0.5
nmmr_u,50.385318685242204,0.0,0.5
